id,stop_letter,name,lat,lon,lines,modes,parent_id,top_most_parent_id,station_id
490000225W,SW,St Paul's Station,51.51544,-0.097157,"['100', '133', '25', '4', 'n25', 'n8']",['bus'],490G00225S,940GZZLUSPU,490G00225S
490014816E,E,Woodbine Place,51.57704,0.026821,"['101', '308', 'w12']",['bus'],490G00014816,490G00014816,490G00014816
490000250D,D,Wanstead High St / Wanstead Station,51.576752,0.027385,"['101', '308', '66', 'n55', 'w13', 'w14']",['bus'],490G00014821,490G00014821,490G00014821
490015125C,C,Wanstead Station  / George Green,51.575082,0.026705,"['101', '145', '308', 'n55', 'n8', 'w13', 'w14']",['bus'],490G00250A,940GZZLUWSD,490G00250A
490006778S,T,Felstead Road,51.572514,0.023849,"['101', '145', '308', 'n55', 'n8']",['bus'],490G00006778,490G00006778,490G00006778
490004653S,U,Bush Road,51.570511,0.023716,"['101', '145', '308', 'n55', 'n8']",['bus'],490G00004653,490G00004653,490G00004653
490004087S,A,Blake Hall Crescent,51.565865,0.025097,"['101', '308', 'w19']",['bus'],490G00004087,490G00004087,490G00004087
490011372S,B,Queenswood Gardens,51.564091,0.025754,"['101', 'w19']",['bus'],490G00011372,490G00011372,490G00011372
490010812E,C,Park Road,51.563031,0.031954,"['101', 'w19']",['bus'],490G00010812,490G00010812,490G00010812
490008095S,D,Herongate Road,51.562005,0.035617,"['101', 'w19']",['bus'],490G00008095,490G00008095,490G00008095
490006566S,E,Empress Avenue,51.561018,0.037564,"['101', 'w19']",['bus'],490G00006566,490G00006566,490G00006566
490009816S,F,Merlin Road,51.56018,0.039229,"['101', 'w19']",['bus'],490G00009816,490G00009816,490G00009816
490014205S,G,City of London Cemetery,51.558665,0.04258,"['101', 'w19']",['bus'],490G00005322,490G00005322,490G00005322
490004769Z,,Capel Road,51.554513,0.046505,"['101', 'w19']",['bus'],490G00004769,490G00004769,490G00004769
490001189S,B,Manor Park Station,51.552829,0.046646,"['101', '304', '474', 'w19']",['bus'],910GMANRPK,910GMANRPK,910GMANRPK
490011661S,J,Romford Road,51.551398,0.047274,"['101', '304', '474', 'w19']",['bus'],490G00011661,490G00011661,490G00011661
490005694D,D,Cranbourne Road,51.54968,0.048279,"['101', '304', '474']",['bus'],490G000469,490G000469,490G000469
490003921S,A,Berkeley Road,51.546487,0.048842,"['101', '304', '474']",['bus'],490G00003921,490G00003921,490G00003921
490011801S1,B,Ruskin Avenue,51.545371,0.049441,"['101', '304', '474']",['bus'],490G00011801,490G00011801,490G00011801
490012058S1,C,Shelley Avenue,51.543447,0.049931,"['101', '304', '474']",['bus'],490G00012058,490G00012058,490G00012058
490007200F,D,Gladstone Avenue,51.541547,0.050567,"['101', '304', '474']",['bus'],490G00007200,490G00007200,490G00007200
490000068A,A,East Ham Station,51.540029,0.050975,"['101', '147', '238', '300', '304', '325', '376', '474']",['bus'],490G00068A,940GZZLUEHM,490G00068A
490003888N,N,Bendish Road,51.537543,0.051714,"['101', '147', '238', '300', '304', '325', '376', '474']",['bus'],490G00003888,490G00003888,490G00003888
490011001M,M,Ron Leighton Way,51.535535,0.051364,"['101', '147', '304', '376', '474']",['bus'],490G00011001,490G00011001,490G00011001
490006360R,R,High Street North,51.532924,0.053092,"['101', '115', '304', '376', '474', '58']",['bus'],490G00006360,490G00006360,490G00006360
490010218V,V,Newham Town Hall,51.531878,0.055294,"['101', '115', '304', '376', '474', '58']",['bus'],490G00010218,490G00010218,490G00010218
490009662S,N,Market Street,51.530591,0.055899,"['101', '115', '304', '474', '58']",['bus'],490G00009662,490G00009662,490G00009662
490006358S1,L,East Ham / Central Park,51.52739,0.056361,"['101', '304', '474']",['bus'],490G00006358,490G00006358,490G00006358
490014040S,BK,Vicarage Lane,51.525174,0.057083,"['101', '300', '304', '474']",['bus'],490G00014049,490G00014049,490G00014049
490006359S,BL,East Ham Fire Station,51.523646,0.057547,"['101', '300', '304', '474']",['bus'],490G00006359,490G00006359,490G00006359
490009348S,BM,Lonsdale Avenue,51.521238,0.058491,"['101', '300', '474']",['bus'],490G00009348,490G00009348,490G00009348
490003747S,BN,Albatross Close,51.518442,0.05995,"['101', '104', '173', '300', '474', '673']",['bus'],490G00003747,490G00003747,490G00003747
490013691E,E,Tollgate Road,51.516482,0.060424,"['101', '104', '173', '300', '474', '673']",['bus'],490G00013691,490G00013691,490G00013691
490006317A,A,Beckton Bus Station,51.514067,0.059695,"['101', '104', '173', '366', '376', '673', '678']",['bus'],490G000496,490G000496,490G000496
490006317D,D,Beckton Bus Station,51.514431,0.059986,"['101', '173', '300', '474']",['bus'],490G000496,490G000496,490G000496
490013691F,F,Tollgate Road,51.516829,0.060123,"['101', '104', '173', '300', '474']",['bus'],490G00013691,490G00013691,490G00013691
490003747N,BE,Albatross Close,51.519502,0.059508,"['101', '104', '173', '300', '474']",['bus'],490G00003747,490G00003747,490G00003747
490009348N,BH,Lonsdale Avenue,51.521595,0.058103,"['101', '104', '300', '304', '474']",['bus'],490G00009348,490G00009348,490G00009348
490010045N,BJ,Mortimer Road,51.524598,0.057114,"['101', '300', '304', '474']",['bus'],490G00010045,490G00010045,490G00010045
490009682N,H,Marlow Road,51.526409,0.056403,"['101', '304', '474']",['bus'],490G00009682,490G00009682,490G00009682
490006358N,G,East Ham / Central Park,51.52878,0.056077,"['101', '115', '304', '474', '58']",['bus'],490G00006358,490G00006358,490G00006358
490013665N,F,Tilbury Road,51.529954,0.05577,"['101', '115', '304', '474', '58']",['bus'],490G00013665,490G00013665,490G00013665
490010218U,U,Newham Town Hall,51.531752,0.055303,"['101', '304', '474']",['bus'],490G00010218,490G00010218,490G00010218
490013645L,L,Kempton Road,51.534742,0.053001,"['101', '325', '376']",['bus'],490G00013645,490G00013645,490G00013645
490004881J,J,Caledon Road,51.535893,0.052461,"['101', '325', '376']",['bus'],490G00004881,490G00004881,490G00004881
490003888D,D,Bendish Road,51.538107,0.051379,"['101', '147', '238', '300', '304', '325', '376', '474']",['bus'],490G00003888,490G00003888,490G00003888
490000068B,B,East Ham Station,51.53938,0.051046,"['101', '147', '238', '300', '304', '325', '376', '474']",['bus'],490G00068A,940GZZLUEHM,490G00068A
490007200Y,U,Gladstone Avenue,51.540801,0.050548,"['101', '304', '474']",['bus'],490G00007200,490G00007200,490G00007200
490012058N2,V,Shelley Avenue,51.542925,0.049908,"['101', '304', '474']",['bus'],490G00012058,490G00012058,490G00012058
490011801N,W,Ruskin Avenue,51.545011,0.049425,"['101', '304', '474']",['bus'],490G00011801,490G00011801,490G00011801
